State,Zip Code,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,99501,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99502,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99503,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99504,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99505,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99506,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99507,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99508,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99509,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99510,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99511,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99513,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99514,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99515,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99516,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99517,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99518,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99519,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99520,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99521,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99522,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99523,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99524,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99529,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99530,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99540,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99545,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99546,ADAK,0.04,0.0,0.0,0.04,0.0,0
AK,99547,ATKA,0.0,0.0,0.0,0.0,0.0,0
AK,99548,KODIAK ISLAND BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99549,PORT HEIDEN,0.0,0.0,0.0,0.0,0.0,0
AK,99550,KODIAK ISLAND BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99551,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99552,AKIAK,0.0,0.0,0.0,0.0,0.0,0
AK,99553,AKUTAN,0.0,0.0,0.0,0.0,0.0,0
AK,99554,ALAKANUK,0.04,0.0,0.0,0.04,0.0,0
AK,99555,ALEKNAGIK,0.05,0.0,0.0,0.05,0.0,0
AK,99556,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99557,ANIAK,0.02,0.0,0.0,0.02,0.0,0
AK,99558,ANVIK,0.0,0.0,0.0,0.0,0.0,0
AK,99559,BETHEL,0.06,0.0,0.0,0.06,0.0,0
AK,99561,CHEFORNAK,0.02,0.0,0.0,0.02,0.0,0
AK,99563,CHEVAK,0.03,0.0,0.0,0.03,0.0,0
AK,99564,CHIGNIK,0.0,0.0,0.0,0.0,0.0,0
AK,99565,KENAI,0.06,0.0,0.06,0.0,0.0,0
AK,99566,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99567,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99568,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99569,CLARKS POINT,0.06,0.0,0.0,0.06,0.0,0
AK,99571,COLD BAY,0.0,0.0,0.0,0.0,0.0,0
AK,99572,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99573,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99574,CORDOVA,0.07,0.0,0.0,0.07,0.0,0
AK,99575,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99576,DILLINGHAM,0.06,0.0,0.0,0.06,0.0,0
AK,99577,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99578,EEK,0.02,0.0,0.0,0.02,0.0,0
AK,99579,EGEGIK,0.0,0.0,0.0,0.0,0.0,0
AK,99580,EKWOK,0.0,0.0,0.0,0.0,0.0,0
AK,99581,EMMONAK,0.04,0.0,0.0,0.04,0.0,0
AK,99583,FALSE PASS,0.03,0.0,0.0,0.03,0.0,0
AK,99585,MARSHALL,0.04,0.0,0.0,0.04,0.0,0
AK,99586,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99587,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99588,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99589,GOODNEWS BAY,0.0,0.0,0.0,0.0,0.0,0
AK,99590,GRAYLING,0.0,0.0,0.0,0.0,0.0,0
AK,99591,SAINT GEORGE,0.0,0.0,0.0,0.0,0.0,0
AK,99599,ANCHORAGE BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99602,HOLY CROSS,0.0,0.0,0.0,0.0,0.0,0
AK,99603,HOMER,0.0785,0.0,0.0785,0.0,0.0,0
AK,99604,HOOPER BAY,0.05,0.0,0.0,0.05,0.0,0
AK,99605,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99606,NEWHALEN,0.02,0.0,0.0,0.02,0.0,0
AK,99607,UPPER KALSKAG,0.0,0.0,0.0,0.0,0.0,0
AK,99608,KODIAK ISLAND BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99609,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99610,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99611,KENAI,0.06,0.0,0.06,0.0,0.0,0
AK,99612,KING COVE,0.06,0.0,0.0,0.06,0.0,0
AK,99613,BRISTOL BAY BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99614,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99615,KODIAK,0.07,0.0,0.0,0.07,0.0,0
AK,99619,KODIAK,0.07,0.0,0.0,0.07,0.0,0
AK,99620,KOTLIK,0.03,0.0,0.0,0.03,0.0,0
AK,99621,KWETHLUK,0.05,0.0,0.0,0.05,0.0,0
AK,99622,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99623,MATANUSKA-SUSITNA BRG,0.0,0.0,0.0,0.0,0.0,0
AK,99624,LARSEN BAY,0.03,0.0,0.0,0.03,0.0,0
AK,99625,LAKE PENINSULA BRG,0.0,0.0,0.0,0.0,0.0,0
AK,99626,LOWER KALSKAG,0.0,0.0,0.0,0.0,0.0,0
AK,99627,ALASKA,0.0,0.0,0.0,0.0,0.0,0
AK,99628,MANOKOTAK,0.02,0.0,0.0,0.02,0.0,0
AK,99629,WASILLA,0.025,0.0,0.0,0.025,0.0,0
AK,99630,MEKORYUK,0.04,0.0,0.0,0.04,0.0,0
AK,99631,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99632,MOUNTAIN VILLAGE,0.03,0.0,0.0,0.03,0.0,0
AK,99633,BRISTOL BAY BOROUGH,0.0,0.0,0.0,0.0,0.0,0
AK,99634,NAPAKIAK,0.05,0.0,0.0,0.05,0.0,0
AK,99635,KENAI PENINSULA,0.03,0.0,0.03,0.0,0.0,0
AK,99636,NEW STUYAHOK,0.0,0.0,0.0,0.0,0.0,0
AK,99637,TOKSOOK BAY,0.02,0.0,0.0,0.02,0.0,0
